The result is same! - Japanese: 乳癌, ニュウガン, ニュウガン, にゅうがん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 心筋梗塞, シンキンコウソク, シンキンコウソク, しんきんこうそく
The result is same! - Japanese: 噴水, フンスイ, フンスイ, ふんすい
The result is same! - Japanese: 状の, ジョウノ, ジョウノ, じょうの
The result is same! - Japanese: 嘔吐, オウト, オウト, おうと
The result is different! - Japanese: 肝門, キモモン, カンモン, かんもん
The result is same! - Japanese: 部, ブ, ブ, ぶ
The result is same! - Japanese: 胆管, タンカン, タンカン, たんかん
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 心筋梗塞, シンキンコウソク, シンキンコウソク, しんきんこうそく
The result is different! - Japanese: 低, ヒク, テイ, てい
The result is same! - Japanese: 血糖, ケットウ, ケットウ, けっとう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 昏睡, コンスイ, コンスイ, こんすい
Non-Japanese: C
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 慢性, マンセイ, マンセイ, まんせい
The result is same! - Japanese: 肝炎, カンエン, カンエン, かんえん
The result is same! - Japanese: 全身, ゼンシン, ゼンシン, ぜんしん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 強皮, ツヨガワ, キョウヒ, きょうひ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: ヘモジデリン, ヘモジデリン, ヘモジデリン, へもじでりん
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is different! - Japanese: 冠, カンムリ, カン, かん
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is same! - Japanese: 増殖, ゾウショク, ゾウショク, ぞうしょく
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 網膜症, モウマクショウ, モウマクショウ, もうまくしょう
The result is same! - Japanese: くも, クモ, クモ, くも
The result is same! - Japanese: 膜, マク, マク, まく
The result is different! - Japanese: 下出, シモイデ, シモデ, しもで
The result is same! - Japanese: 血, チ, チ, ち
The result is same! - Japanese: ペンタゾシン, ペンタゾシン, ペンタゾシン, ぺんたぞしん
The result is same! - Japanese: 人工, ジンコウ, ジンコウ, じんこう
The result is same! - Japanese: 妊娠中絶, ニンシンチュウゼツ, ニンシンチュウゼツ, にんしんちゅうぜつ
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is same! - Japanese: 扁平, ヘンペイ, ヘンペイ, へんぺい
The result is same! - Japanese: 上皮, ジョウヒ, ジョウヒ, じょうひ
The result is same! - Japanese: 癌, ガン, ガン, がん
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is same! - Japanese: 腎盂, ジンウ, ジンウ, じんう
The result is same! - Japanese: 腎炎, ジンエン, ジンエン, じんえん
The result is same! - Japanese: 間代, マダイ, マダイ, まだい
The result is same! - Japanese: けいれん, ケイレン, ケイレン, けいれん
The result is same! - Japanese: 悪性, アクセイ, アクセイ, あくせい
The result is same! - Japanese: リンパ, リンパ, リンパ, りんぱ
The result is same! - Japanese: 腫, シュ, シュ, しゅ
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
Non-Japanese: B
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 肝炎, カンエン, カンエン, かんえん
The result is same! - Japanese: 胸膜, キョウマク, キョウマク, きょうまく
The result is same! - Japanese: プラーク, プラーク, プラーク, ぷらーく
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is different! - Japanese: 性骨, セイボネ, ショウボネ, しょうぼね
The result is same! - Japanese: 髄, ズイ, ズイ, ずい
The result is same! - Japanese: 腫, シュ, シュ, しゅ
The result is same! - Japanese: 大腸, ダイチョウ, ダイチョウ, だいちょう
The result is same! - Japanese: ポリープ, ポリープ, ポリープ, ぽりーぷ
The result is same! - Japanese: 急性, キュウセイ, キュウセイ, きゅうせい
The result is different! - Japanese: 冠, カンムリ, カン, かん
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 低出, テイシュツ, テイシュツ, ていしゅつ
The result is same! - Japanese: 生体, セイタイ, セイタイ, せいたい
The result is different! - Japanese: 重, オモ, ジュウ, じゅう
The result is different! - Japanese: 児, コ, ジ, じ
The result is same! - Japanese: 多発, タハツ, タハツ, たはつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 梗塞, コウソク, コウソク, こうそく
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is different! - Japanese: 外陰, ソトカゲ, ガイイン, がいいん
The result is same! - Japanese: 部, ブ, ブ, ぶ
The result is same! - Japanese: の, ノ, ノ, の
The result is same! - Japanese: 異常, イジョウ, イジョウ, いじょう
The result is same! - Japanese: 僧帽, ソウボウ, ソウボウ, そうぼう
The result is same! - Japanese: 弁, ベン, ベン, べん
The result is same! - Japanese: 逆流, ギャクリュウ, ギャクリュウ, ぎゃくりゅう
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 軽度, ケイド, ケイド, けいど
The result is same! - Japanese: の, ノ, ノ, の
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 萎縮, イシュク, イシュク, いしゅく
The result is same! - Japanese: 嚥下, エンカ, エンカ, えんか
The result is same! - Japanese: 機能障害, キノウショウガイ, キノウショウガイ, きのうしょうがい
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is same! - Japanese: 慢性, マンセイ, マンセイ, まんせい
The result is different! - Japanese: 副鼻腔炎, フクビクウエン, フクビコウエン, ふくびこうえん
The result is same! - Japanese: 左, ヒダリ, ヒダリ, ひだり
The result is same! - Japanese: 不全, フゼン, フゼン, ふぜん
The result is different! - Japanese: 片麻, カタアサ, ヘンマ, へんま
The result is different! - Japanese: 痺, , ヒ, ひ
The result is same! - Japanese: 逆流, ギャクリュウ, ギャクリュウ, ぎゃくりゅう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 食道, ショクドウ, ショクドウ, しょくどう
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
The result is same! - Japanese: 関節, カンセツ, カンセツ, かんせつ
The result is same! - Japanese: リウマチ, リウマチ, リウマチ, りうまち
The result is same! - Japanese: 心房, シンボウ, シンボウ, しんぼう
The result is different! - Japanese: 中隔, チュウ, チュウカク, ちゅうかく
The result is same! - Japanese: 欠損, ケッソン, ケッソン, けっそん
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 変形, ヘンケイ, ヘンケイ, へんけい
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 膝関節, シツカンセツ, ヒザカンセツ, ひざかんせつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 絞扼, シボ, コウヤク, こうやく
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: イレウス, イレウス, イレウス, いれうす
The result is same! - Japanese: 大動脈, ダイドウミャク, ダイドウミャク, だいどうみゃく
The result is same! - Japanese: 弁, ベン, ベン, べん
The result is same! - Japanese: 狭窄, キョウサク, キョウサク, きょうさく
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is different! - Japanese: 遅発, オソハツ, チハツ, ちはつ
The result is same! - Japanese: 一過性, イッカセイ, イッカセイ, いっかせい
The result is same! - Japanese: 徐脈, ジョミャク, ジョミャク, じょみゃく
The result is same! - Japanese: 過敏性, カビンセイ, カビンセイ, かびんせい
The result is same! - Japanese: 腸, チョウ, チョウ, ちょう
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 発作, ホッサ, ホッサ, ほっさ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 心房細動, シンボウサイドウ, シンボウサイドウ, しんぼうさいどう
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is same! - Japanese: および, オヨビ, オヨビ, および
The result is same! - Japanese: 肝, キモ, キモ, きも
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 脳, ノウ, ノウ, のう
The result is same! - Japanese: 血管, ケッカン, ケッカン, けっかん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 過敏性, カビンセイ, カビンセイ, かびんせい
The result is same! - Japanese: 腸, チョウ, チョウ, ちょう
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
Non-Japanese: II
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 呼吸, コキュウ, コキュウ, こきゅう
The result is same! - Japanese: 不全, フゼン, フゼン, ふぜん
The result is same! - Japanese: 深部, シンブ, シンブ, しんぶ
The result is same! - Japanese: 静脈, ジョウミャク, ジョウミャク, じょうみゃく
The result is same! - Japanese: 血栓, ケッセン, ケッセン, けっせん
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: インフルエンザ, インフルエンザ, インフルエンザ, いんふるえんざ
The result is same! - Japanese: 大腿骨, ダイタイコツ, ダイタイコツ, だいたいこつ
The result is different! - Japanese: 頸部, , ケイブ, けいぶ
The result is same! - Japanese: 骨折, コッセツ, コッセツ, こっせつ
The result is same! - Japanese: クラミジア, クラミジア, クラミジア, くらみじあ
The result is same! - Japanese: 感染, カンセン, カンセン, かんせん
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 球菌, キュウキン, キュウキン, きゅうきん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
The result is same! - Japanese: 変形, ヘンケイ, ヘンケイ, へんけい
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 膝関節, シツカンセツ, ヒザカンセツ, ひざかんせつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 変形, ヘンケイ, ヘンケイ, へんけい
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 膝関節, シツカンセツ, ヒザカンセツ, ひざかんせつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 労作, ロウサク, ロウサク, ろうさく
The result is same! - Japanese: 時, トキ, トキ, とき
The result is same! - Japanese: 呼吸困難, コキュウコンナン, コキュウコンナン, こきゅうこんなん
The result is same! - Japanese: アフタ, アフタ, アフタ, あふた
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 口内炎, コウナイエン, コウナイエン, こうないえん
The result is same! - Japanese: 性器, セイキ, セイキ, せいき
The result is same! - Japanese: クラミジア, クラミジア, クラミジア, くらみじあ
Non-Japanese: Down
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 変形, ヘンケイ, ヘンケイ, へんけい
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 膝関節, シツカンセツ, ヒザカンセツ, ひざかんせつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: グルカゴノーマ, グルカゴノーマ, グルカゴノーマ, ぐるかごのーま
The result is same! - Japanese: アレルギー, アレルギー, アレルギー, あれるぎー
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 鼻炎, ビエン, ビエン, びえん
The result is different! - Japanese: 敗血, ハイチ, ハイケツ, はいけつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: ショック, ショック, ショック, しょっく
The result is same! - Japanese: ネフローゼ, ネフローゼ, ネフローゼ, ねふろーぜ
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 左, ヒダリ, ヒダリ, ひだり
The result is same! - Japanese: 変形, ヘンケイ, ヘンケイ, へんけい
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 股関節, コカンセツ, コカンセツ, こかんせつ
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: ネフローゼ, ネフローゼ, ネフローゼ, ねふろーぜ
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 肺門, ハイモン, ハイモン, はいもん
The result is same! - Japanese: リンパ, リンパ, リンパ, りんぱ
The result is same! - Japanese: 節, フシ, フシ, ふし
The result is same! - Japanese: 転移, テンイ, テンイ, てんい
The result is same! - Japanese: 常, ツネ, ツネ, つね
The result is same! - Japanese: 位, クライ, クライ, くらい
The result is same! - Japanese: 胎盤, タイバン, タイバン, たいばん
The result is same! - Japanese: 早期, ソウキ, ソウキ, そうき
The result is same! - Japanese: 剥離, ハクリ, ハクリ, はくり
The result is same! - Japanese: 筋, スジ, スジ, すじ
The result is same! - Japanese: ・, ・, ・, ・
The result is same! - Japanese: 筋膜, キンマク, キンマク, きんまく
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: の, ノ, ノ, の
The result is same! - Japanese: 腰痛, ヨウツウ, ヨウツウ, ようつう
The result is same! - Japanese: 強直, キョウチョク, キョウチョク, きょうちょく
The result is same! - Japanese: 間代, マダイ, マダイ, まだい
The result is same! - Japanese: けいれん, ケイレン, ケイレン, けいれん
The result is same! - Japanese: 妊娠, ニンシン, ニンシン, にんしん
The result is same! - Japanese: 高血圧, コウケツアツ, コウケツアツ, こうけつあつ
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
The result is same! - Japanese: 機能性, キノウセイ, キノウセイ, きのうせい
The result is same! - Japanese: 月経, ゲッケイ, ゲッケイ, げっけい
The result is same! - Japanese: 困難, コンナン, コンナン, こんなん
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 軽度, ケイド, ケイド, けいど
The result is same! - Japanese: 認知機能, ニンチキノウ, ニンチキノウ, にんちきのう
The result is same! - Japanese: 障害, ショウガイ, ショウガイ, しょうがい
The result is same! - Japanese: 完全, カンゼン, カンゼン, かんぜん
The result is same! - Japanese: 房室, ボウシツ, ボウシツ, ぼうしつ
The result is same! - Japanese: ブロック, ブロック, ブロック, ぶろっく
The result is same! - Japanese: アトピー, アトピー, アトピー, あとぴー
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 皮膚炎, ヒフエン, ヒフエン, ひふえん
The result is same! - Japanese: チョコレート, チョコレート, チョコレート, ちょこれーと
The result is same! - Japanese: 嚢胞, ノウホウ, ノウホウ, のうほう
The result is different! - Japanese: 腹腔, フクコウ, フッコウ, ふっこう
The result is same! - Japanese: 鏡, カガミ, カガミ, かがみ
The result is same! - Japanese: 下, シタ, シタ, した
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is same! - Japanese: 筋腫, キンシュ, キンシュ, きんしゅ
The result is same! - Japanese: 原発, ゲンパツ, ゲンパツ, げんぱつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 胆汁, タンジュウ, タンジュウ, たんじゅう
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 胆管, タンカン, タンカン, たんかん
The result is same! - Japanese: 炎, ホノオ, ホノオ, ほのお
Non-Japanese: Raynaud
The result is same! - Japanese: 現象, ゲンショウ, ゲンショウ, げんしょう
The result is same! - Japanese: 再発, サイハツ, サイハツ, さいはつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 口唇, コウシン, コウシン, こうしん
The result is same! - Japanese: ヘルペス, ヘルペス, ヘルペス, へるぺす
Non-Japanese: RS
The result is same! - Japanese: ウイルス, ウイルス, ウイルス, ういるす
The result is same! - Japanese: 感染症, カンセンショウ, カンセンショウ, かんせんしょう
The result is same! - Japanese: 肺, ハイ, ハイ, はい
The result is different! - Japanese: アスペルギルス, , アスペルギルス, あすぺるぎるす
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 代謝, タイシャ, タイシャ, たいしゃ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: アシドーシス, アシドーシス, アシドーシス, あしどーしす
The result is same! - Japanese: 不完全, フカンゼン, フカンゼン, ふかんぜん
The result is same! - Japanese: 右脚, ミギアシ, ミギアシ, みぎあし
The result is same! - Japanese: ブロック, ブロック, ブロック, ぶろっく
The result is different! - Japanese: ニューモシスチス, , ニューモシスチス, にゅーもしすちす
The result is same! - Japanese: 肺炎, ハイエン, ハイエン, はいえん
Non-Japanese: Mirizzi
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
Non-Japanese: C
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 肝炎, カンエン, カンエン, かんえん
The result is same! - Japanese: ウイルス, ウイルス, ウイルス, ういるす
The result is same! - Japanese: 感染, カンセン, カンセン, かんせん
Non-Japanese: Parkinson
The result is different! - Japanese: 病, ヤマイ, ビョウ, びょう
Non-Japanese: 1
The result is same! - Japanese: 絨毛, ジュウモウ, ジュウモウ, じゅうもう
The result is same! - Japanese: 膜, マク, マク, まく
Non-Japanese: 2
The result is same! - Japanese: 羊膜, ヨウマク, ヨウマク, ようまく
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: 双胎, ソウ, ソウタイ, そうたい
The result is same! - Japanese: 腰椎, ヨウツイ, ヨウツイ, ようつい
The result is same! - Japanese: の, ノ, ノ, の
The result is same! - Japanese: 椎間板, ツイカンバン, ツイカンバン, ついかんばん
The result is same! - Japanese: ヘルニア, ヘルニア, ヘルニア, へるにあ
The result is different! - Japanese: 両眼, リョウメ, リョウガン, りょうがん
The result is same! - Japanese: 増殖, ゾウショク, ゾウショク, ぞうしょく
The result is same! - Japanese: 糖尿病, トウニョウビョウ, トウニョウビョウ, とうにょうびょう
The result is same! - Japanese: 網膜症, モウマクショウ, モウマクショウ, もうまくしょう
The result is same! - Japanese: 皮膚, ヒフ, ヒフ, ひふ
The result is same! - Japanese: サルコイドーシス, サルコイドーシス, サルコイドーシス, さるこいどーしす
The result is same! - Japanese: 全身, ゼンシン, ゼンシン, ぜんしん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is different! - Japanese: エリテマトーデス, , エリテマトーデス, えりてまとーです
The result is same! - Japanese: 新生児, シンセイジ, シンセイジ, しんせいじ
The result is same! - Japanese: マススクリーニング, マススクリーニング, マススクリーニング, ますすくりーにんぐ
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is same! - Japanese: 鏡, カガミ, カガミ, かがみ
The result is same! - Japanese: 下, シタ, シタ, した
The result is same! - Japanese: 子宮, シキュウ, シキュウ, しきゅう
The result is different! - Japanese: 内膜, ウチマク, ナイマク, ないまく
The result is same! - Japanese: ポリープ, ポリープ, ポリープ, ぽりーぷ
The result is same! - Japanese: 壊死, エシ, エシ, えし
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 半月, ハンツキ, ハンツキ, はんつき
The result is same! - Japanese: 体形, タイケイ, タイケイ, たいけい
The result is different! - Japanese: 成, シゲル, セイ, せい
The result is different! - Japanese: 糸球, イトダマ, シキュウ, しきゅう
The result is same! - Japanese: 体, カラダ, カラダ, からだ
The result is same! - Japanese: 腎炎, ジンエン, ジンエン, じんえん
Non-Japanese: Alzheimer
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: Alzheimer
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
Non-Japanese: Alzheimer
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 微小, ビショウ, ビショウ, びしょう
The result is same! - Japanese: 変化, ヘンカ, ヘンカ, へんか
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: ネフローゼ, ネフローゼ, ネフローゼ, ねふろーぜ
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
Non-Japanese: Alzheimer
The result is same! - Japanese: 型, カタ, カタ, かた
The result is same! - Japanese: 認知, ニンチ, ニンチ, にんち
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 慢性心, マンセイシン, マンセイシン, まんせいしん
The result is same! - Japanese: 不全, フゼン, フゼン, ふぜん
Non-Japanese: （
Non-Japanese: NYHA II
Non-Japanese: ）
The result is same! - Japanese: 溶血, ヨウケツ, ヨウケツ, ようけつ
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 尿毒, ニョウドク, ニョウドク, にょうどく
The result is same! - Japanese: 症, ショウ, ショウ, しょう
The result is same! - Japanese: 症候群, ショウコウグン, ショウコウグン, しょうこうぐん
Non-Japanese: 〈
Non-Japanese: HUS
Non-Japanese: 〉
The result is same! - Japanese: びまん, ビマン, ビマン, びまん
The result is same! - Japanese: 性, セイ, セイ, せい
The result is same! - Japanese: 大, ダイ, ダイ, だい
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: 型, カタ, カタ, かた
Non-Japanese: B
The result is same! - Japanese: 細胞, サイボウ, サイボウ, さいぼう
The result is same! - Japanese: リンパ, リンパ, リンパ, りんぱ
The result is same! - Japanese: 腫, シュ, シュ, しゅ
Non-Japanese: pulseless electrical activity
Non-Japanese: 〈
Non-Japanese: PEA
Non-Japanese: 〉
